node,REGION_1,REGION_10,REGION_2,REGION_3,REGION_4,REGION_5,REGION_6,REGION_7,REGION_8,REGION_9
hCoV-19/USA/WA-UW293/2020|EPI_ISL_418078|2020-03-15,0,1,0,0,0,0,0,0,0,0
n9,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/TX-HMH0378/2020|EPI_ISL_434966|2020-04-01,0,0,0,0,0,0,1,0,0,0
n108,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW245/2020|EPI_ISL_418030|2020-03-16,0,1,0,0,0,0,0,0,0,0
n118,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1666/2020|EPI_ISL_424196|2020-03-20,0,1,0,0,0,0,0,0,0,0
n10,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW279/2020|EPI_ISL_418064|2020-03-15,0,1,0,0,0,0,0,0,0,0
n109,0,1,0,0,0,0,0,0,0,0
n119,1,0,0,0,0,0,0,0,0,0
n123,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/CA-ALSR-0503-SAN/2020|EPI_ISL_483187|2020-04-02,0,0,0,0,0,0,0,0,0,1
n11,0,1,0,0,0,0,0,0,0,0
n110,0,1,0,0,0,0,0,0,0,0
n111,0,1,0,0,0,0,0,0,0,0
n120,1,0,0,0,0,0,0,0,0,0
n122,1,0,0,0,0,0,0,0,0,0
hCoV-19/USA/WI-UW-39/2020|EPI_ISL_421297|2020-03-22,0,0,0,0,0,1,0,0,0,0
n124,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1327/2020|EPI_ISL_422975|2020-03-18,0,1,0,0,0,0,0,0,0,0
n12,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW61/2020|EPI_ISL_415626|2020-03-10,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW151/2020|EPI_ISL_416689|2020-03-14,0,1,0,0,0,0,0,0,0,0
n112,0,1,0,0,0,0,0,0,0,0
n115,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/ME-HETL-J0078/2020|EPI_ISL_513489|2020-03-19,1,0,0,0,0,0,0,0,0,0
n121,1,0,0,0,0,0,0,0,0,0
hCoV-19/USA/ME-HETL-J0016/2020|EPI_ISL_513429|2020-03-14,1,0,0,0,0,0,0,0,0,0
hCoV-19/USA/ME-HETL-J0053/2020|EPI_ISL_513464|2020-03-13,1,0,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW27/2020|EPI_ISL_414596|2020-03-04,0,1,0,0,0,0,0,0,0,0
n125,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/TX-HMH05/2020|EPI_ISL_434716|2020-03-16,0,0,0,0,0,0,1,0,0,0
n13,0,1,0,0,0,0,0,0,0,0
n113,0,1,0,0,0,0,0,0,0,0
n114,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW214/2020|EPI_ISL_417363|2020-03-14,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1315/2020|EPI_ISL_422965|2020-03-16,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/ME-HETL-J0052/2020|EPI_ISL_513463|2020-03-16,1,0,0,0,0,0,0,0,0,0
hCoV-19/USA/ME-HETL-J0056/2020|EPI_ISL_513467|2020-03-16,1,0,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW209/2020|EPI_ISL_417358|2020-03-13,0,1,0,0,0,0,0,0,0,0
n126,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW92/2020|EPI_ISL_416448|2020-03-11,0,1,0,0,0,0,0,0,0,0
n14,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW62/2020|EPI_ISL_415627|2020-03-09,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1702/2020|EPI_ISL_424228|2020-03-21,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1338/2020|EPI_ISL_422986|2020-03-18,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW204/2020|EPI_ISL_417353|2020-03-13,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW211/2020|EPI_ISL_417360|2020-03-14,0,1,0,0,0,0,0,0,0,0
n127,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW100/2020|EPI_ISL_416638|2020-03-12,0,1,0,0,0,0,0,0,0,0
n15,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW383/2020|EPI_ISL_418948|2020-03-16,0,1,0,0,0,0,0,0,0,0
n128,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW285/2020|EPI_ISL_418070|2020-03-14,0,1,0,0,0,0,0,0,0,0
n16,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-S113/2020|EPI_ISL_417166|2020-02-29,0,1,0,0,0,0,0,0,0,0
n129,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW360/2020|EPI_ISL_418927|2020-03-16,0,1,0,0,0,0,0,0,0,0
n17,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/UN-UW219/2020|EPI_ISL_417368|2020-03-13,0,0,0,0,0,0,0,0,0,0
n130,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/CA-CZB-1675/2020|EPI_ISL_468615|2020-03-30,0,0,0,0,0,0,0,0,0,1
n18,0,1,0,0,0,0,0,0,0,0
n131,0,1,0,0,0,0,0,0,0,0
n132,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW51/2020|EPI_ISL_415616|2020-03-08,0,1,0,0,0,0,0,0,0,0
n19,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1718/2020|EPI_ISL_424210|2020-03-20,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1785/2020|EPI_ISL_424250|2020-03-19,0,1,0,0,0,0,0,0,0,0
n133,0,1,0,0,0,0,0,0,0,0
n155,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW376/2020|EPI_ISL_418943|2020-03-17,0,1,0,0,0,0,0,0,0,0
n20,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW149/2020|EPI_ISL_416687|2020-03-14,0,1,0,0,0,0,0,0,0,0
n134,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW298/2020|EPI_ISL_418866|2020-03-13,0,1,0,0,0,0,0,0,0,0
n156,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/TX-HMH0113/2020|EPI_ISL_434815|2020-03-20,0,0,0,0,0,0,1,0,0,0
n21,0,1,0,0,0,0,0,0,0,0
n135,0,1,0,0,0,0,0,0,0,0
n143,0,1,0,0,0,0,0,0,0,0
n157,0,1,0,0,0,0,0,0,0,0
n159,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-114/2020|EPI_ISL_476903|2020-03-06,0,1,0,0,0,0,0,0,0,0
n22,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-6527/2020|EPI_ISL_437857|2020-04-05,0,1,0,0,0,0,0,0,0,0
n136,0,1,0,0,0,0,0,0,0,0
n144,0,1,0,0,0,0,0,0,0,0
n154,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2249/2020|EPI_ISL_426130|2020-03-24,0,1,0,0,0,0,0,0,0,0
n158,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-3046/2020|EPI_ISL_486084|2020-03-27,0,1,0,0,0,0,0,0,0,0
n160,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW77/2020|EPI_ISL_416433|2020-03-10,0,1,0,0,0,0,0,0,0,0
n23,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2066/2020|EPI_ISL_477703|2020-03-25,0,1,0,0,0,0,0,0,0,0
n137,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-3041/2020|EPI_ISL_486083|2020-03-27,0,1,0,0,0,0,0,0,0,0
n145,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2164/2020|EPI_ISL_426102|2020-03-25,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-3515/2020|EPI_ISL_491030|2020-03-26,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2247/2020|EPI_ISL_426129|2020-03-24,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2250/2020|EPI_ISL_426131|2020-03-24,0,1,0,0,0,0,0,0,0,0
n161,0,1,0,0,0,0,0,0,0,0
n177,0,1,0,0,0,0,0,0,0,0
n24,0,1,0,0,0,0,0,0,0,0
n25,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-558/2020|EPI_ISL_430888|2020-03-13,0,1,0,0,0,0,0,0,0,0
n138,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-602/2020|EPI_ISL_430894|2020-03-12,0,1,0,0,0,0,0,0,0,0
n146,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-3858/2020|EPI_ISL_427195|2020-03-26,0,1,0,0,0,0,0,0,0,0
n162,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-6186/2020|EPI_ISL_430954|2020-04-01,0,1,0,0,0,0,0,0,0,0
n178,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-3950/2020|EPI_ISL_427218|2020-03-27,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW217/2020|EPI_ISL_417366|2020-03-14,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW71/2020|EPI_ISL_415599|2020-03-09,0,1,0,0,0,0,0,0,0,0
n26,0,1,0,0,0,0,0,0,0,0
n139,0,1,0,0,0,0,0,0,0,0
n140,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-518/2020|EPI_ISL_430870|2020-03-11,0,1,0,0,0,0,0,0,0,0
n147,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-661/2020|EPI_ISL_476920|2020-03-12,0,1,0,0,0,0,0,0,0,0
n163,0,1,0,0,0,0,0,0,0,0
n179,0,1,0,0,0,0,0,0,0,0
n182,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/CT-UW-3417/2020|EPI_ISL_490982|2020-03-26,1,0,0,0,0,0,0,0,0,0
n27,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW290/2020|EPI_ISL_418075|2020-03-15,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1840/2020|EPI_ISL_424252|2020-03-23,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-3003/2020|EPI_ISL_486074|2020-03-27,0,1,0,0,0,0,0,0,0,0
n141,0,1,0,0,0,0,0,0,0,0
n148,0,0,0,0,0,0,0,0,0,0
n149,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1274/2020|EPI_ISL_476905|2020-03-17,0,1,0,0,0,0,0,0,0,0
n164,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW216/2020|EPI_ISL_417365|2020-03-14,0,1,0,0,0,0,0,0,0,0
n180,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/VA-DCLS-0538/2020|EPI_ISL_485839|2020-03-13,0,0,0,1,0,0,0,0,0,0
n183,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-3336/2020|EPI_ISL_491016|2020-03-26,0,1,0,0,0,0,0,0,0,0
n28,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2521/2020|EPI_ISL_477717|2020-03-30,0,1,0,0,0,0,0,0,0,0
n142,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2280/2020|EPI_ISL_477708|2020-03-30,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/UN-UW-547/2020|EPI_ISL_430886|2020-03-10,0,0,0,0,0,0,0,0,0,0
hCoV-19/USA/MN-UW-MAYO72/2020|EPI_ISL_500516|2020-03-16,0,0,0,0,0,1,0,0,0,0
n150,0,1,0,0,0,0,0,0,0,0
n165,0,0,0,0,0,0,0,0,0,0
n166,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-864/2020|EPI_ISL_476938|2020-03-13,0,1,0,0,0,0,0,0,0,0
n181,0,1,0,0,0,0,0,0,0,0
n184,0,1,0,0,0,0,0,0,0,0
n185,0,1,0,0,0,0,0,0,0,0
n29,0,1,0,0,0,0,0,0,0,0
n35,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1821/2020|EPI_ISL_424275|2020-03-22,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1708/2020|EPI_ISL_424232|2020-03-21,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2595/2020|EPI_ISL_477721|2020-03-29,0,1,0,0,0,0,0,0,0,0
n151,0,0,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW154/2020|EPI_ISL_416692|2020-03-14,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/UN-UW-581/2020|EPI_ISL_430890|2020-03-12,0,0,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-671/2020|EPI_ISL_476925|2020-03-12,0,1,0,0,0,0,0,0,0,0
n167,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW200/2020|EPI_ISL_417349|2020-03-12,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW242/2020|EPI_ISL_417456|2020-03-13,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/NY-PV09327/2020|EPI_ISL_450016|2020-03-18,0,0,1,0,0,0,0,0,0,0
hCoV-19/USA/CA-CSMC51/2020|EPI_ISL_475664|2020-04-06,0,0,0,0,0,0,0,0,0,1
n186,0,1,0,0,0,0,0,0,0,0
n197,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2928/2020|EPI_ISL_486052|2020-03-29,0,1,0,0,0,0,0,0,0,0
n30,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1599/2020|EPI_ISL_423033|2020-03-18,0,1,0,0,0,0,0,0,0,0
n36,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/UN-UW-2832/2020|EPI_ISL_485954|2020-04-15,0,0,0,0,0,0,0,0,0,0
n152,0,0,0,0,0,0,0,0,0,0
hCoV-19/USA/OR-OHSU-0200/2020|EPI_ISL_509071|2020-03-30,0,1,0,0,0,0,0,0,0,0
n168,0,1,0,0,0,0,0,0,0,0
n187,0,1,0,0,0,0,0,0,0,0
n189,0,0,1,0,0,0,0,0,0,0
hCoV-19/USA/UT-03/2020|EPI_ISL_415541|2020-03-13,0,0,0,0,0,0,0,0,1,0
n198,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW64/2020|EPI_ISL_415592|2020-03-09,0,1,0,0,0,0,0,0,0,0
n31,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1562/2020|EPI_ISL_423022|2020-03-19,0,1,0,0,0,0,0,0,0,0
n37,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/UN-UW-2814/2020|EPI_ISL_485952|2020-04-15,0,0,0,0,0,0,0,0,0,0
n153,0,0,0,0,0,0,0,0,0,0
n169,0,0,0,0,0,0,0,0,0,1
n170,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW15/2020|EPI_ISL_414363|2020-03-04,0,1,0,0,0,0,0,0,0,0
n188,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/NY-NYUMC515/2020|EPI_ISL_444632|2020-03-30,0,0,1,0,0,0,0,0,0,0
n190,0,0,1,0,0,0,0,0,0,0
n199,0,1,0,0,0,0,0,0,0,0
n376,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2369/2020|EPI_ISL_485987|2020-03-31,0,1,0,0,0,0,0,0,0,0
n32,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW150/2020|EPI_ISL_416688|2020-03-14,0,1,0,0,0,0,0,0,0,0
n38,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/UN-UW-2820/2020|EPI_ISL_485953|2020-04-15,0,0,0,0,0,0,0,0,0,0
hCoV-19/USA/UN-UW-2859/2020|EPI_ISL_485963|2020-04-15,0,0,0,0,0,0,0,0,0,0
hCoV-19/USA/CA-QDX-155/2020|EPI_ISL_467817|2020-03-16,0,0,0,0,0,0,0,0,0,1
hCoV-19/USA/CA-QDX-154/2020|EPI_ISL_467816|2020-03-16,0,0,0,0,0,0,0,0,0,1
hCoV-19/USA/WA-UW-6162/2020|EPI_ISL_430933|2020-04-01,0,1,0,0,0,0,0,0,0,0
n171,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/MA-QDX-114/2020|EPI_ISL_467850|2020-03-14,1,0,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1756/2020|EPI_ISL_424243|2020-03-21,0,1,0,0,0,0,0,0,0,0
n191,0,0,1,0,0,0,0,0,0,0
n192,0,0,1,0,0,0,0,0,0,0
hCoV-19/USA/OR-PROV-036/2020|EPI_ISL_482318|2020-03-26,0,1,0,0,0,0,0,0,0,0
n200,0,1,0,0,0,0,0,0,0,0
n377,0,1,0,0,0,0,0,0,0,0
n401,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2606/2020|EPI_ISL_486004|2020-03-30,0,1,0,0,0,0,0,0,0,0
n33,0,1,0,0,0,0,0,0,0,0
n39,0,1,0,0,0,0,0,0,0,0
n98,0,1,0,0,0,0,0,0,0,0
n172,0,1,0,0,0,0,0,0,0,0
n176,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/NY-NYUMC520/2020|EPI_ISL_444637|2020-03-30,0,0,1,0,0,0,0,0,0,0
hCoV-19/USA/NY-NYUMC95/2020|EPI_ISL_421707|2020-03-18,0,0,1,0,0,0,0,0,0,0
hCoV-19/USA/VI-CDC-3688/2020|EPI_ISL_452123|2020-03-23,0,0,1,0,0,0,0,0,0,0
n193,0,0,1,0,0,0,0,0,0,0
hCoV-19/USA/KY-9A10/2020|EPI_ISL_468064|2020-03-18,0,0,0,0,1,0,0,0,0,0
n201,0,1,0,0,0,0,0,0,0,0
n378,0,1,0,0,0,0,0,0,0,0
n390,0,1,0,0,0,0,0,0,0,0
n402,0,1,0,0,0,0,0,0,0,0
n414,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-4217/2020|EPI_ISL_427249|2020-03-31,0,1,0,0,0,0,0,0,0,0
n34,0,1,0,0,0,0,0,0,0,0
n40,0,1,0,0,0,0,0,0,0,0
n86,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW130/2020|EPI_ISL_416668|2020-03-11,0,1,0,0,0,0,0,0,0,0
n99,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-524/2020|EPI_ISL_430877|2020-03-12,0,1,0,0,0,0,0,0,0,0
n173,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-3365/2020|EPI_ISL_491019|2020-03-26,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-3827/2020|EPI_ISL_427182|2020-03-26,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WI-UW-09/2020|EPI_ISL_417203|2020-03-21,0,0,0,0,0,1,0,0,0,0
n194,0,0,1,0,0,0,0,0,0,0
n202,0,0,0,0,0,0,0,0,0,1
n203,0,1,0,0,0,0,0,0,0,0
n379,0,1,0,0,0,0,0,0,0,0
n383,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW31/2020|EPI_ISL_414618|2020-03-08,0,1,0,0,0,0,0,0,0,0
n391,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/UT-04/2020|EPI_ISL_415542|2020-03-13,0,0,0,0,0,0,0,0,1,0
n403,0,1,0,0,0,0,0,0,0,0
n415,0,1,0,0,0,0,0,0,0,0
n648,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-604/2020|EPI_ISL_430895|2020-03-13,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2029/2020|EPI_ISL_485976|2020-03-24,0,1,0,0,0,0,0,0,0,0
n41,0,1,0,0,0,0,0,0,0,0
n84,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1304/2020|EPI_ISL_422964|2020-03-16,0,1,0,0,0,0,0,0,0,0
n87,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1784/2020|EPI_ISL_424261|2020-03-21,0,1,0,0,0,0,0,0,0,0
n100,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2045/2020|EPI_ISL_477698|2020-03-24,0,1,0,0,0,0,0,0,0,0
n174,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/NY-Wadsworth-14811-01/2020|EPI_ISL_525613|2020-03-13,0,0,1,0,0,0,0,0,0,0
n195,0,0,1,0,0,0,0,0,0,0
hCoV-19/USA/CA-CDPH-UC1/2020|EPI_ISL_413557|2020-02-28,0,0,0,0,0,0,0,0,0,1
hCoV-19/USA/CA-CDPH018/2020|EPI_ISL_515911|2020-02-27,0,0,0,0,0,0,0,0,0,1
n204,0,1,0,0,0,0,0,0,0,0
n261,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-S11/2020|EPI_ISL_416466|2020-03-03,0,1,0,0,0,0,0,0,0,0
n380,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW139/2020|EPI_ISL_416677|2020-03-12,0,1,0,0,0,0,0,0,0,0
n384,0,1,0,0,0,0,0,0,0,0
n392,0,1,0,0,0,0,0,0,0,0
n398,0,1,0,0,0,0,0,0,0,0
n404,0,1,0,0,0,0,0,0,0,0
n405,0,1,0,0,0,0,0,0,0,0
n416,0,1,0,0,0,0,0,0,0,0
n473,0,1,0,0,0,0,0,0,0,0
n649,0,1,0,0,0,0,0,0,0,0
n21300,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1583/2020|EPI_ISL_423003|2020-03-19,0,1,0,0,0,0,0,0,0,0
n42,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1320/2020|EPI_ISL_422971|2020-03-17,0,1,0,0,0,0,0,0,0,0
n85,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW277/2020|EPI_ISL_418062|2020-03-14,0,1,0,0,0,0,0,0,0,0
n88,0,1,0,0,0,0,0,0,0,0
n101,0,1,0,0,0,0,0,0,0,0
n102,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-2601/2020|EPI_ISL_477723|2020-03-29,0,1,0,0,0,0,0,0,0,0
n175,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/CA-UCLA-56/2020|EPI_ISL_537582|2020-03-17,0,0,0,0,0,0,0,0,0,1
n196,0,0,1,0,0,0,0,0,0,0
n205,0,1,0,0,0,0,0,0,0,0
n208,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/KY-9E09/2020|EPI_ISL_468065|2020-03-18,0,0,0,0,1,0,0,0,0,0
n262,0,1,0,0,0,0,0,0,0,0
n381,0,1,0,0,0,0,0,0,0,0
n382,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW305/2020|EPI_ISL_418873|2020-03-16,0,1,0,0,0,0,0,0,0,0
n385,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-S20/2020|EPI_ISL_417073|2020-03-02,0,1,0,0,0,0,0,0,0,0
n393,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-S161/2020|EPI_ISL_430199|2020-03-17,0,1,0,0,0,0,0,0,0,0
n399,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/OR-PROV-012/2020|EPI_ISL_482299|2020-03-31,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-S525/2020|EPI_ISL_434285|2020-04-01,0,1,0,0,0,0,0,0,0,0
n406,0,1,0,0,0,0,0,0,0,0
n408,0,1,0,0,0,0,0,0,0,0
n417,0,1,0,0,0,0,0,0,0,0
n468,0,1,0,0,0,0,0,0,0,0
n474,0,1,0,0,0,0,0,0,0,0
n475,1,0,0,0,0,0,0,0,0,0
n650,0,1,0,0,0,0,0,0,0,0
n664,0,1,0,0,0,0,0,0,0,0
n21301,0,0,0,0,0,0,0,0,0,1
n21329,0,1,0,0,0,0,0,0,0,0
n43,0,1,0,0,0,0,0,0,0,0
n53,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW355/2020|EPI_ISL_418922|2020-03-16,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1238/2020|EPI_ISL_418945|2020-03-15,0,1,0,0,0,0,0,0,0,0
n89,0,0,0,0,0,1,0,0,0,0
n91,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW207/2020|EPI_ISL_417356|2020-03-13,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW370/2020|EPI_ISL_418937|2020-03-17,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1782/2020|EPI_ISL_424262|2020-03-22,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW46/2020|EPI_ISL_415611|2020-03-09,0,1,0,0,0,0,0,0,0,0
